"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2017","2.896","3.018","3.036","2.723","3.89M","-3.69%"
"09/01/2017","3.007","3.027","3.166","2.885","3.17M","-1.09%"
"08/01/2017","3.040","2.810","3.045","2.753","2.94M","8.80%"
"07/01/2017","2.794","2.949","3.114","2.781","2.74M","-7.94%"
"06/01/2017","3.035","3.080","3.128","2.855","3.16M","-1.17%"
"05/01/2017","3.071","3.249","3.431","3.061","3.17M","-6.26%"
"04/01/2017","3.276","3.217","3.347","3.022","2.65M","2.70%"
"03/01/2017","3.190","2.770","3.242","2.730","3.12M","15.00%"
"02/01/2017","2.774","3.134","3.228","2.522","2.63M","-11.00%"
"01/01/2017","3.117","3.568","3.568","3.098","2.84M","-16.30%"
"12/01/2016","3.724","3.348","3.994","3.242","3.29M","11.10%"
"11/01/2016","3.352","2.979","3.367","2.546","2.99M","10.77%"
"10/01/2016","3.026","2.905","3.366","2.627","3.33M","4.13%"
"09/01/2016","2.906","2.879","3.098","2.665","2.69M","0.66%"
"08/01/2016","2.887","2.840","2.943","2.523","2.96M","0.38%"
"07/01/2016","2.876","2.931","2.998","2.625","2.36M","-1.64%"
"06/01/2016","2.924","2.287","2.974","2.277","3.12M","27.80%"
"05/01/2016","2.288","2.132","2.303","1.909","2.64M","5.05%"
"04/01/2016","2.178","1.963","2.195","1.872","3.04M","11.18%"
"03/01/2016","1.959","1.707","2.028","1.611","2.81M","14.49%"
"02/01/2016","1.711","2.213","2.228","1.682","2.58M","-25.54%"
"01/01/2016","2.298","2.366","2.495","2.044","2.48M","-1.67%"
"12/01/2015","2.337","2.230","2.387","1.684","3.01M","4.56%"
"11/01/2015","2.235","2.268","2.460","2.051","2.50M","-3.71%"
"10/01/2015","2.321","2.522","2.578","1.948","2.94M","-8.04%"
"09/01/2015","2.524","2.686","2.794","2.511","2.26M","-6.14%"
"08/01/2015","2.689","2.725","2.934","2.624","2.54M","-0.99%"
"07/01/2015","2.716","2.816","2.951","2.644","2.61M","-4.10%"
"06/01/2015","2.832","2.615","2.955","2.556","3.00M","7.19%"
"05/01/2015","2.642","2.737","3.105","2.633","2.43M","-3.96%"
"04/01/2015","2.751","2.637","2.770","2.443","2.44M","4.20%"
"03/01/2015","2.640","2.691","2.935","2.578","2.36M","-3.44%"
"02/01/2015","2.734","2.664","3.039","2.567","2.49M","1.60%"
"01/01/2015","2.691","2.845","3.352","2.637","2.64M","-6.85%"
"12/01/2014","2.889","3.975","4.041","2.882","2.62M","-29.33%"
"11/01/2014","4.088","4.007","4.544","3.931","3.01M","5.55%"
"10/01/2014","3.873","4.130","4.184","3.541","2.38M","-6.02%"
"09/01/2014","4.121","4.048","4.178","3.761","2.20M","1.38%"
"08/01/2014","4.065","3.829","4.101","3.727","1.97M","5.83%"
"07/01/2014","3.841","4.447","4.488","3.723","1.83M","-13.90%"
"06/01/2014","4.461","4.551","4.886","4.350","2.09M","-1.78%"
"05/01/2014","4.542","4.797","4.827","4.289","1.89M","-5.67%"
"04/01/2014","4.815","4.367","4.852","4.221","2.04M","10.16%"
"03/01/2014","4.371","4.690","4.736","4.262","1.94M","-5.16%"
"02/01/2014","4.609","4.850","6.493","4.441","3.18M","-6.76%"
"01/01/2014","4.943","4.232","5.725","3.953","3.36M","16.86%"
"12/01/2013","4.230","3.911","4.532","3.897","2.99M","6.98%"
"11/01/2013","3.954","3.574","3.962","3.379","2.08M","10.42%"
"10/01/2013","3.581","3.557","3.869","3.480","2.75M","0.59%"
